Start-Airport-ID,End-Airport-ID,Distance
3406,3121,1289.867020167645
3406,3373,1649.650108283753
3406,3035,2696.2539434233163
3406,4144,1176.7002567180652
3406,3316,3805.8845379156514
3406,4030,1895.6775109662346
3406,2337,1191.895494633413
3406,3390,584.7736857343846
3406,2276,676.8001661591188
3406,3383,817.8742603432172
3406,6357,1586.5841287389997
3035,3406,2696.2539434233163
3391,3370,1175.5994647125106
3391,6352,966.5598738103516
3391,3393,1416.9102595688012
3391,3371,852.0427193968771
3391,3395,1659.0559626963172
3391,6386,761.0684516414915
3391,3382,1924.6351654294233
3391,3394,1505.6844657727904
3391,3378,1736.2517529797453
3391,6347,993.4776874070234
3391,4302,974.6236102047
3391,4030,1869.4426317002994
3391,3374,1208.435773822847
3391,3390,570.5258284395957
3391,3399,3272.3027881918174
3391,3379,1229.1354816923854
3391,3383,804.1439647011954
3391,6355,1291.6481702292974
3391,9846,1444.3365303704463
4144,3386,1297.8745895944992
4144,4148,1234.6178874104492
4144,6400,2016.1175766586339
4144,3388,1174.6886943129207
4144,3406,1176.7002567180652
4144,6347,836.2452940438067
4144,3374,2296.9116277759754
4144,3379,1514.6229913641314
3316,3406,3805.8845379156514
6347,3370,1660.8126414753913
6347,3393,1206.217195518794
6347,3395,1304.2791055316134
6347,3404,599.099051971817
6347,6345,377.2568444866046
6347,3386,1038.4231560434775
6347,3382,1836.885900352259
6347,3372,1517.1974331115578
6347,3391,993.4776874070234
6347,4144,836.2452940438067
6347,3374,1741.2901431390612
6347,2276,1591.8877449440774
6347,3383,1561.4198570118115
4302,3391,974.6236102047
4030,3386,1731.8163808579234
4030,3406,1895.6775109662346
4030,3391,1869.4426317002994
3374,3386,1070.5068916047026
3374,3391,1208.435773822847
3374,4144,2296.9116277759754
3374,6347,1741.2901431390612
2337,3406,1191.895494633413
3390,3391,570.5258284395957
2276,3406,676.8001661591188
2276,6347,1591.8877449440774
3399,3391,3272.3027881918174
3399,3379,2105.2302923365405
3379,3391,1229.1354816923854
3379,4144,1514.6229913641314
3379,3399,2105.2302923365405
3383,3406,817.8742603432172
3383,3391,804.1439647011954
3383,6347,1561.4198570118115
6357,3406,1586.5841287389997
6355,3406,1316.0602176794832
6355,3391,1291.6481702292974
9846,3382,490.969687473234
9846,3391,1444.3365303704463
2072,999,2772.1898746840293
3682,4039,961.1177475273058
3682,3578,171.04906942778806
3682,4043,1117.5025620712536
3682,4285,585.066916326886
3682,3488,602.180338061706
3682,4018,563.5672313085337
3682,4041,819.1739918167127
3682,4008,492.60652165580984
3682,4034,246.59176868811144
3682,3544,1016.6389608197169
3682,4017,489.49751315777274
3682,4128,1100.8212965969376
3682,3858,1459.7181634135761
3682,4016,575.0018377151544
3682,3745,1277.6344808415668
3682,3676,245.00371703827477
3682,4356,946.5496164660098
4039,3682,961.1177475273058
3578,3682,171.04906942778806
4285,3682,585.066916326886
3488,3682,602.180338061706
3645,3861,1492.271886217002
4018,3682,563.5672313085337
4041,3682,819.1739918167127
3442,7018,74.85823450193043
4008,3682,492.60652165580984
4034,3682,246.59176868811144
3797,3861,1901.4897105100436
3544,3682,1016.6389608197169
4017,3682,489.49751315777274
3697,3861,1903.369925067016
4128,3682,1100.8212965969376
3542,3682,997.1336642038065
3473,3861,562.0414922694137
3858,3682,1459.7181634135761
3858,3861,1675.769333548071
3861,3645,1492.271886217002
